redundancy_cluster_id,direction,decision_tf,size,jaccard_threshold,representative_composite_id,alias_composite_ids,members,COMPOSITE_REDUNDANCY_METHOD
NR-000011,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3c91daeba926aa53,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|6cf8bb3845b41176""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3c91daeba926aa53"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|6cf8bb3845b41176""]",EVENT_STREAM_JACCARD
NR-000012,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|f80ab2f79f92ed78,"[""COMP|T1_DUAL_ANCHOR|DOWN|565e2480ca24d30c""]","[""COMP|T1_DUAL_ANCHOR|DOWN|565e2480ca24d30c"", ""COMP|T1_DUAL_ANCHOR|DOWN|f80ab2f79f92ed78""]",EVENT_STREAM_JACCARD
NR-000013,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|8bf5a0f489a430e2,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a9f5c7f510437ce4""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|8bf5a0f489a430e2"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a9f5c7f510437ce4""]",EVENT_STREAM_JACCARD
NR-000014,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|fc4238e272a23ad5,"[""COMP|T1_DUAL_ANCHOR|DOWN|3404168399320df5""]","[""COMP|T1_DUAL_ANCHOR|DOWN|3404168399320df5"", ""COMP|T1_DUAL_ANCHOR|DOWN|fc4238e272a23ad5""]",EVENT_STREAM_JACCARD
NR-000015,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|2c9e9637e247d178,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|7b2f8bda28eee1fc""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|2c9e9637e247d178"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|7b2f8bda28eee1fc""]",EVENT_STREAM_JACCARD
NR-000016,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a046b6f0ff75c371,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|220fb5364546fdc3""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|220fb5364546fdc3"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a046b6f0ff75c371""]",EVENT_STREAM_JACCARD
NR-000017,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|392e9cb3a79a500a,"[""COMP|T1_DUAL_ANCHOR|DOWN|99f062524495e644""]","[""COMP|T1_DUAL_ANCHOR|DOWN|392e9cb3a79a500a"", ""COMP|T1_DUAL_ANCHOR|DOWN|99f062524495e644""]",EVENT_STREAM_JACCARD
NR-000018,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|0aea849d678698e5,"[""COMP|T1_DUAL_ANCHOR|DOWN|a31342f19b548b67""]","[""COMP|T1_DUAL_ANCHOR|DOWN|0aea849d678698e5"", ""COMP|T1_DUAL_ANCHOR|DOWN|a31342f19b548b67""]",EVENT_STREAM_JACCARD
NR-000019,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|4365d8f2f5d65856,"[""COMP|T1_DUAL_ANCHOR|DOWN|b9ab3913b2378c86""]","[""COMP|T1_DUAL_ANCHOR|DOWN|4365d8f2f5d65856"", ""COMP|T1_DUAL_ANCHOR|DOWN|b9ab3913b2378c86""]",EVENT_STREAM_JACCARD
NR-000020,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|275a94cced10760a,"[""COMP|T1_DUAL_ANCHOR|DOWN|884c011f14e00ad9""]","[""COMP|T1_DUAL_ANCHOR|DOWN|275a94cced10760a"", ""COMP|T1_DUAL_ANCHOR|DOWN|884c011f14e00ad9""]",EVENT_STREAM_JACCARD
NR-000021,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|5b8f0b23c61e5e86,"[""COMP|T1_DUAL_ANCHOR|DOWN|da3232ca23f18c93""]","[""COMP|T1_DUAL_ANCHOR|DOWN|da3232ca23f18c93"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|5b8f0b23c61e5e86""]",EVENT_STREAM_JACCARD
NR-000022,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3d14f57c590d0c48,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|b858dc1bd7defb0b""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3d14f57c590d0c48"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|b858dc1bd7defb0b""]",EVENT_STREAM_JACCARD
NR-000023,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|53d93d2e86189817,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|89316b9243456140""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|53d93d2e86189817"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|89316b9243456140""]",EVENT_STREAM_JACCARD
NR-000024,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a25a6cfaf71f7e29,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|055386798ae7db61""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|055386798ae7db61"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a25a6cfaf71f7e29""]",EVENT_STREAM_JACCARD
NR-000025,DOWN,1H,3,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|164b659ea734fa36,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a41004fca5801737"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|c37735fa9270a7f9""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|164b659ea734fa36"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a41004fca5801737"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|c37735fa9270a7f9""]",EVENT_STREAM_JACCARD
NR-000026,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|92ececed9d9fb192,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|7147e70866d58678""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|7147e70866d58678"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|92ececed9d9fb192""]",EVENT_STREAM_JACCARD
NR-000027,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|6e2a5f1ff9d28fb9,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3f051164528d2cdc""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3f051164528d2cdc"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|6e2a5f1ff9d28fb9""]",EVENT_STREAM_JACCARD
NR-000028,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|66429de19447db9c,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3baae8b679e91051""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|3baae8b679e91051"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|66429de19447db9c""]",EVENT_STREAM_JACCARD
NR-000029,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|17f45aa32167a52d,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|d6d128c5cfd67eb5""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|17f45aa32167a52d"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|d6d128c5cfd67eb5""]",EVENT_STREAM_JACCARD
NR-000030,DOWN,2H,2,0.95,COMP|T2_REGIME_ANCHOR|DOWN|3ec1055582080b9e,"[""COMP|T2_REGIME_ANCHOR|DOWN|5ccf067d89c7dfd6""]","[""COMP|T2_REGIME_ANCHOR|DOWN|3ec1055582080b9e"", ""COMP|T2_REGIME_ANCHOR|DOWN|5ccf067d89c7dfd6""]",EVENT_STREAM_JACCARD
NR-000031,DOWN,2H,2,0.95,COMP|T2_REGIME_ANCHOR|DOWN|5050be6c99007467,"[""COMP|T2_REGIME_ANCHOR|DOWN|3bd6d523e3e9f574""]","[""COMP|T2_REGIME_ANCHOR|DOWN|3bd6d523e3e9f574"", ""COMP|T2_REGIME_ANCHOR|DOWN|5050be6c99007467""]",EVENT_STREAM_JACCARD
NR-000032,DOWN,2H,2,0.95,COMP|T2_REGIME_ANCHOR|DOWN|3f5f8feed3ff5db7,"[""COMP|T2_REGIME_ANCHOR|DOWN|a4cc822b3296629b""]","[""COMP|T2_REGIME_ANCHOR|DOWN|3f5f8feed3ff5db7"", ""COMP|T2_REGIME_ANCHOR|DOWN|a4cc822b3296629b""]",EVENT_STREAM_JACCARD
NR-000033,DOWN,2H,2,0.95,COMP|T2_REGIME_ANCHOR|DOWN|4bb4a8160d810691,"[""COMP|T2_REGIME_ANCHOR|DOWN|8204b999d779c887""]","[""COMP|T2_REGIME_ANCHOR|DOWN|4bb4a8160d810691"", ""COMP|T2_REGIME_ANCHOR|DOWN|8204b999d779c887""]",EVENT_STREAM_JACCARD
NR-000034,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|44c4522a7afcd5ae,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a62b09844906ec83""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|44c4522a7afcd5ae"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|a62b09844906ec83""]",EVENT_STREAM_JACCARD
NR-000035,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|10db9bd3e43e20e9,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|1a0ea06d8b0e865e""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|10db9bd3e43e20e9"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|1a0ea06d8b0e865e""]",EVENT_STREAM_JACCARD
NR-000036,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|9a66c1c160146369,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|2a9f41247ce6fe5b""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|2a9f41247ce6fe5b"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|9a66c1c160146369""]",EVENT_STREAM_JACCARD
NR-000037,DOWN,2H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|8252adeb88ae7639,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|ca552e52ba73156c""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|8252adeb88ae7639"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|ca552e52ba73156c""]",EVENT_STREAM_JACCARD
NR-000038,DOWN,30m,5,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a9e3ae3e61c36923,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|28c0cb2ce3c274aa"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|13f694a2b96a4310"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|34129004f2054c05"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f4d08180c5234b48""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|28c0cb2ce3c274aa"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|13f694a2b96a4310"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|34129004f2054c05"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a9e3ae3e61c36923"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f4d08180c5234b48""]",EVENT_STREAM_JACCARD
NR-000039,DOWN,30m,5,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|318a181d6d18a2db,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5708a63cb6dc7ca4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|749a2c0092af021d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a4904e6c54b8e7e9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ef9d74930954ed4b""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|318a181d6d18a2db"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5708a63cb6dc7ca4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|749a2c0092af021d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a4904e6c54b8e7e9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ef9d74930954ed4b""]",EVENT_STREAM_JACCARD
NR-000040,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|70e2ac8aceb657c3,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|8fd2d8a5dc2421f8""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|70e2ac8aceb657c3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|8fd2d8a5dc2421f8""]",EVENT_STREAM_JACCARD
NR-000041,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1f70e759eed65d27,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ec43ac98eada52a8""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1f70e759eed65d27"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ec43ac98eada52a8""]",EVENT_STREAM_JACCARD
NR-000042,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2c37c5bfcc874c11,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|637194ade9c07151"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|01db88e3523edb2d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2be0b675318e5acf"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3092f658bd66031e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7f664063141469ee"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e31088ddbcf6d296"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e3311ae508b1e8d1""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|637194ade9c07151"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|01db88e3523edb2d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2be0b675318e5acf"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2c37c5bfcc874c11"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3092f658bd66031e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7f664063141469ee"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e31088ddbcf6d296"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e3311ae508b1e8d1""]",EVENT_STREAM_JACCARD
NR-000043,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5fc1af0dc7380364,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|43e54281bdd8c66e""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|43e54281bdd8c66e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5fc1af0dc7380364""]",EVENT_STREAM_JACCARD
NR-000044,DOWN,30m,7,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3c7098385c1e4b28,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|35d908b6e8c4ec65"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|125a01aeef0cb9c7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|41ed4fd4116ec9b6"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|52ddc9f93fe7c530"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5ed152c4ca502ab3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9e069922f6f8a54e""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|35d908b6e8c4ec65"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|125a01aeef0cb9c7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3c7098385c1e4b28"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|41ed4fd4116ec9b6"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|52ddc9f93fe7c530"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5ed152c4ca502ab3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9e069922f6f8a54e""]",EVENT_STREAM_JACCARD
NR-000045,DOWN,30m,6,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1637652d6c0f69bb,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|0853b91600572b36"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1d64642e04e04c45"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2afd6f267e33de4c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|365ced578273efd3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4226ff14553c7ed5""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|0853b91600572b36"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1637652d6c0f69bb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1d64642e04e04c45"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2afd6f267e33de4c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|365ced578273efd3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4226ff14553c7ed5""]",EVENT_STREAM_JACCARD
NR-000046,DOWN,30m,7,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7af448c17d8813d4,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|4b741adc8b28fd87"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1db8524ad65a9720"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|33dcf3a41f3c40a7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4f4abc7de4ca8d32"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|696cccf8c253b8b2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|80093318510f0d4f""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|4b741adc8b28fd87"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1db8524ad65a9720"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|33dcf3a41f3c40a7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4f4abc7de4ca8d32"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|696cccf8c253b8b2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7af448c17d8813d4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|80093318510f0d4f""]",EVENT_STREAM_JACCARD
NR-000047,DOWN,30m,9,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d5c0a7ffecc929a4,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|116a038968ef1ad2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|337d435697546dad"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|575ecf622b0026ba"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5eb3681bf9c9048f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|700d6c470390c501"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d85595e1cea36e9e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f6466fe58c9cc64e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fef4d6d40cddc8e5""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|116a038968ef1ad2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|337d435697546dad"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|575ecf622b0026ba"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5eb3681bf9c9048f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|700d6c470390c501"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d5c0a7ffecc929a4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d85595e1cea36e9e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f6466fe58c9cc64e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fef4d6d40cddc8e5""]",EVENT_STREAM_JACCARD
NR-000048,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bbe19d7baef31b79,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b6f0f79e704be06b""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b6f0f79e704be06b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bbe19d7baef31b79""]",EVENT_STREAM_JACCARD
NR-000049,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b8efe11fb44681df,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b489287a55e67955""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b489287a55e67955"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b8efe11fb44681df""]",EVENT_STREAM_JACCARD
